record_id,hospital_name,area,ward,hospital_type,department,total_beds,available_beds,total_icu,available_icu,total_ventilators,available_ventilators,occupancy_percent,distance_km,wait_time_mins,rating,consultation_fee_inr,emergency_status,accepts_pmjay,accepts_abha,accepts_private_insurance,accepts_no_insurance,ai_match_score,city,state
147,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,Dermatology,200,77,22,5,28,3,61.5,9.8,25,4.5,515,Active,True,True,True,True,50,Pune,Maharashtra
148,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,Urology,200,23,22,9,28,11,88.5,8.9,114,4.8,1213,Active,False,False,True,True,50,Pune,Maharashtra
149,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,Pediatrics,200,21,22,13,28,2,89.5,6.4,95,4.9,996,Limited,True,True,True,True,50,Pune,Maharashtra
150,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,Orthopedics,200,112,22,10,28,7,44.0,4.0,89,4.1,804,Closed,False,True,True,True,63.3,Pune,Maharashtra
151,Symbiosis Hospital,Lavale,Ward 19,Multi-Specialty,Cardiology,150,60,18,0,22,8,60.0,8.7,90,4.7,1327,Closed,True,True,True,True,58.0,Pune,Maharashtra
152,Symbiosis Hospital,Lavale,Ward 19,Multi-Specialty,Gynecology,150,34,18,1,22,1,77.3,11.9,54,4.4,359,Active,False,True,True,False,50,Pune,Maharashtra
153,Symbiosis Hospital,Lavale,Ward 19,Multi-Specialty,Oncology,150,29,18,8,22,7,80.7,7.9,86,4.2,310,Active,True,True,False,False,50,Pune,Maharashtra
154,Symbiosis Hospital,Lavale,Ward 19,Multi-Specialty,Orthopedics,150,79,18,8,22,8,47.3,4.1,94,4.5,1271,Active,True,False,True,True,60.7,Pune,Maharashtra
155,Symbiosis Hospital,Lavale,Ward 19,Multi-Specialty,ENT,150,58,18,0,22,5,61.3,7.1,24,4.5,536,Closed,True,True,True,True,52.8,Pune,Maharashtra
156,Symbiosis Hospital,Lavale,Ward 19,Multi-Specialty,Cardiology,150,81,18,8,22,10,46.0,9.8,36,4.4,1452,Closed,True,False,True,True,64.1,Pune,Maharashtra
157,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Dermatology,200,115,25,8,32,17,42.5,6.7,88,4.5,820,Active,False,False,True,True,52.6,Pune,Maharashtra
158,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Dermatology,200,80,25,10,32,4,60.0,1.6,75,3.9,349,Active,True,False,True,True,50,Pune,Maharashtra
159,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Pediatrics,200,78,25,9,32,0,61.0,6.1,67,4.8,962,Active,True,True,False,False,51.2,Pune,Maharashtra
160,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Cardiology,200,96,25,3,32,13,52.0,4.2,112,4.6,1178,Limited,True,True,True,False,63.7,Pune,Maharashtra
161,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,ENT,200,30,25,10,32,8,85.0,9.6,90,4.3,774,Limited,True,True,False,False,50,Pune,Maharashtra
162,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Dermatology,200,120,25,12,32,14,40.0,5.8,61,4.7,1293,Active,True,True,True,True,77.8,Pune,Maharashtra
163,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Nephrology,200,76,25,6,32,7,62.0,6.1,86,4.0,486,Active,True,True,True,True,54.5,Pune,Maharashtra
164,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Endocrinology,200,53,25,7,32,9,73.5,2.5,17,4.9,1139,Closed,True,True,True,False,50,Pune,Maharashtra
165,Manipal Hospital Baner,Baner,Ward 20,Multi-Specialty,Pediatrics,200,105,25,4,32,18,47.5,7.2,92,4.0,1118,Active,True,False,True,True,60.5,Pune,Maharashtra
166,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,ENT,300,35,35,21,42,24,88.3,1.6,64,3.5,0,Active,True,True,True,True,50,Pune,Maharashtra
167,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Dermatology,300,155,35,5,42,4,48.3,4.4,90,4.1,100,Closed,True,True,False,False,66.7,Pune,Maharashtra
168,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Gastroenterology,300,113,35,12,42,21,62.3,4.1,33,3.9,50,Active,False,True,True,False,50,Pune,Maharashtra
169,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Endocrinology,300,121,35,17,42,3,59.7,10.3,102,4.1,0,Active,False,True,True,True,50,Pune,Maharashtra
170,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Pediatrics,300,162,35,4,42,14,46.0,4.9,73,4.0,50,Limited,False,False,True,True,56.9,Pune,Maharashtra
171,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Gastroenterology,300,103,35,18,42,8,65.7,9.9,109,3.9,100,Active,True,True,False,False,50,Pune,Maharashtra
172,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Nephrology,300,107,35,15,42,22,64.3,11.8,89,3.9,0,Active,False,False,True,True,50,Pune,Maharashtra
173,Yashwantrao Chavan Hospital,Pimpri,Ward 5,Government,Oncology,300,173,35,3,42,25,42.3,6.2,79,3.8,0,Closed,False,True,True,True,62.1,Pune,Maharashtra
174,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Ophthalmology,170,53,20,11,25,6,68.8,4.7,45,3.9,1267,Closed,True,True,True,False,50,Pune,Maharashtra
175,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Pediatrics,170,77,20,5,25,6,54.7,1.0,110,4.7,599,Closed,True,True,True,True,55.4,Pune,Maharashtra
176,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Nephrology,170,32,20,3,25,13,81.2,6.7,37,4.1,1450,Active,True,True,True,True,50,Pune,Maharashtra
177,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Endocrinology,170,51,20,1,25,10,70.0,8.5,101,3.8,892,Active,False,False,True,True,50,Pune,Maharashtra
178,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Psychiatry,170,93,20,3,25,0,45.3,2.3,19,4.6,1467,Limited,False,True,True,False,57.7,Pune,Maharashtra
179,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Gynecology,170,46,20,11,25,1,72.9,10.2,65,4.3,1108,Limited,True,True,True,True,50,Pune,Maharashtra
180,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Ophthalmology,170,75,20,10,25,10,55.9,4.4,45,3.9,861,Active,False,False,True,True,50,Pune,Maharashtra
181,Nanavati Hospital,Hadapsar,Ward 21,Multi-Specialty,Dermatology,170,18,20,7,25,14,89.4,4.2,71,4.1,1301,Limited,False,True,True,False,50,Pune,Maharashtra
182,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Gynecology,130,56,15,6,18,4,56.9,1.3,74,4.4,1043,Active,True,False,True,True,50,Pune,Maharashtra
183,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Orthopedics,130,43,15,6,18,8,66.9,9.9,53,4.6,709,Closed,True,True,True,True,50,Pune,Maharashtra
184,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Pediatrics,130,47,15,1,18,9,63.8,6.6,90,3.9,1390,Limited,True,True,True,True,51.8,Pune,Maharashtra
185,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,General Medicine,130,31,15,6,18,7,76.2,6.7,92,4.4,363,Active,False,True,True,True,50,Pune,Maharashtra
186,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Pediatrics,130,33,15,1,18,8,74.6,2.1,50,5.0,953,Active,True,True,True,False,50,Pune,Maharashtra
187,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,ENT,130,32,15,0,18,8,75.4,4.7,114,4.4,867,Closed,True,True,True,True,50,Pune,Maharashtra
188,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Oncology,130,27,15,7,18,0,79.2,8.3,57,4.5,592,Active,False,False,True,True,50,Pune,Maharashtra
189,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Gastroenterology,130,30,15,1,18,7,76.9,6.4,84,3.8,808,Active,True,False,True,True,50,Pune,Maharashtra
190,Care Hospital,Viman Nagar,Ward 15,Multi-Specialty,Pulmonology,130,61,15,2,18,9,53.1,8.9,26,4.3,801,Closed,False,True,True,True,50,Pune,Maharashtra
